Details,Posting Date,Description,Amount,Type,Balance,Check or Slip #
DEBIT,02/02/2026,"GOOGLE *Workspace_co cc@google.com CA        02/01",-15.32,DEBIT_CARD,2093.57,,
DEBIT,02/02/2026,"10WEB.IO 10WEB.IO DE                         02/01",-136.00,DEBIT_CARD,2108.89,,
DEBIT,02/02/2026,"WEBSHARE* PROXY PLN CO WEBSHARE.IO CA        02/01",-10.68,DEBIT_CARD,2244.89,,
DEBIT,02/02/2026,"INVIDEO INNOVATION SINGAPORE                 01/31",-50.00,DEBIT_CARD,2255.57,,
DEBIT,02/02/2026,"INVIDEO INNOVATION SINGAPORE                 01/31",-59.91,DEBIT_CARD,2305.57,,
DEBIT,02/02/2026,"INVIDEO INNOVATION SINGAPORE                 01/31",-60.00,DEBIT_CARD,2365.48,,
DEBIT,02/02/2026,"LOVABLE LOVABLE.DEV DE                       01/31",-25.00,DEBIT_CARD,2425.48,,
DEBIT,02/02/2026,"CLAUDE.AI SUBSCRIPTI ANTHROPIC.COM CA        01/31",-147.20,DEBIT_CARD,2450.48,,
DEBIT,02/02/2026,"SUPERMEMORY INC. SUPERMEMORY.C AZ            01/31",-19.00,DEBIT_CARD,2597.68,,
DEBIT,02/02/2026,"al.Nord*VPNcom 208-6388607 NY                02/01",-8.99,DEBIT_CARD,2616.68,,
CREDIT,02/02/2026,"ORIG CO NAME:STRIPE                 ORIG ID:4270465600 DESC DATE:       CO ENTRY DESCR:TRANSFER  SEC:CCD    TRACE#:111000023784855 EED:260202   IND ID:ST-X1F9I5K3Z3U6              IND NAME:MARK GUNDRUM TRN: 0333784855TC",785.80,ACH_CREDIT,2625.67,,
DEBIT,01/30/2026,"MONTHLY SERVICE FEE",-15.00,FEE_TRANSACTION,1839.87,,
DEBIT,01/30/2026,"MYFICO.COM WWW.MYFICO.CO MT                  01/30",-29.95,DEBIT_CARD,1854.87,,
DEBIT,01/30/2026,"HIGHLEVEL INC. GOHIGHLEVEL.C TX              01/29",-100.00,DEBIT_CARD,1884.82,,
DEBIT,01/29/2026,"INSTANTLY INSTANTLY.AI WY                    01/28",-97.00,DEBIT_CARD,1984.82,,
DEBIT,01/28/2026,"HIGHLEVEL INC. GOHIGHLEVEL.C TX              01/28",-10.00,DEBIT_CARD,2081.82,,
DEBIT,01/28/2026,"Wise 888-9083833 NY                          01/28",-812.56,DEBIT_CARD,2091.82,,
CREDIT,01/28/2026,"Online Transfer from CHK ...0068 transaction#: 27848373526",900.00,ACCT_XFER,2904.38,,
DEBIT,01/27/2026,"Online Transfer to CHK ...0068 transaction#: 27844127850 01/27",-1000.00,ACCT_XFER,2004.38,,
DEBIT,01/27/2026,"Online Transfer to CHK ...0068 transaction#: 27842289677 01/27",-300.00,ACCT_XFER,3004.38,,
CREDIT,01/27/2026,"ORIG CO NAME:STRIPE                 ORIG ID:1800948598 DESC DATE:       CO ENTRY DESCR:TRANSFER  SEC:CCD    TRACE#:091000010037497 EED:260127   IND ID:ST-Q4Z2G0F9M2X5              IND NAME:MARK GUNDRUM TRN: 0270037497TC",481.70,ACH_CREDIT,3304.38,,
CREDIT,01/27/2026,"Zelle payment from ACI ENTERPRISE, LLC WFCT0ZQXM3ZS",1000.00,PARTNERFI_TO_CHASE,2822.68,,
DEBIT,01/26/2026,"FOREIGN EXCHANGE RATE ADJUSTMENT FEE         01/23ETA-IL  E",-0.23,FEE_TRANSACTION,1822.68,,
DEBIT,01/26/2026,"FACEBK *JTJVRBR8Z2 650-5434800 CA            01/26",-399.00,DEBIT_CARD,1822.91,,
DEBIT,01/26/2026,"Online Transfer to CHK ...0068 transaction#: 27823430479 01/26",-250.00,ACCT_XFER,2221.91,,
DEBIT,01/26/2026,"SAFETYWING SAFETYWING.CO CA                  01/25",-66.28,DEBIT_CARD,2471.91,,
DEBIT,01/26/2026,"Payment to Chase card ending in 4252 01/26",-261.00,LOAN_PMT,2538.19,,
DEBIT,01/26/2026,"INSTANTLY INSTANTLY.AI WY                    01/23",-35.00,DEBIT_CARD,2799.19,,
DEBIT,01/26/2026,"ETA-IL  ELETRONIC TRAVE ASHDOD               01/23 IL Shekel  25.00 X 0.3192000 (EXCHG RTE)",-7.98,DEBIT_CARD,2834.19,,
CREDIT,01/26/2026,"Zelle payment from ANTHONY REDDIN BACsz2mn4wy0",250.00,PARTNERFI_TO_CHASE,2842.17,,
CREDIT,01/26/2026,"Zelle payment from JONATHAN BIBLE WFCT0ZQR39TZ",500.00,PARTNERFI_TO_CHASE,2592.17,,
CREDIT,01/26/2026,"Zelle payment from CHRISTIAN WILLARD BACrnentxfz3",700.00,PARTNERFI_TO_CHASE,2092.17,,
DEBIT,01/23/2026,"Payment to Chase card ending in 0678 01/23",-4200.00,LOAN_PMT,1392.17,,
DEBIT,01/23/2026,"Zelle payment to Jonathan Bible JPM99c2z9nvi",-500.00,CHASE_TO_PARTNERFI,5592.17,,
DEBIT,01/23/2026,"Payment to Chase card ending in 0678 01/23",-1000.00,LOAN_PMT,6092.17,,
CREDIT,01/23/2026,"ORIG CO NAME:Credit Strong          ORIG ID:5122002794 DESC DATE:012326 CO ENTRY DESCR:CSTR PAYMTSEC:WEB    TRACE#:114994031121147 EED:260123   IND ID:2726995                      IND NAME:Mark Gundrum TRN: 0231121147TC",100.00,MISC_CREDIT,7092.17,,
CREDIT,01/23/2026,"ORIG CO NAME:STRIPE                 ORIG ID:6270465600 DESC DATE:       CO ENTRY DESCR:TRANSFER  SEC:CCD    TRACE#:091000014082100 EED:260123   IND ID:ST-J7X8L6A7J7M1              IND NAME:MARK GUNDRUM TRN: 0234082100TC",4200.00,ACH_CREDIT,6992.17,,
DEBIT,01/22/2026,"STOP PAYMENT FEE",-30.00,FEE_TRANSACTION,2792.17,,
DEBIT,01/22/2026,"Online Transfer to CHK ...0068 transaction#: 27792908755 01/22",-300.00,ACCT_XFER,2822.17,,
CREDIT,01/22/2026,"Zelle payment from A-Z MOBILE APPS, INC. WFCT0ZQHJTRZ",3000.00,PARTNERFI_TO_CHASE,3122.17,,
DEBIT,01/21/2026,"Online Transfer to CHK ...0068 transaction#: 27775126038 01/21",-50.00,ACCT_XFER,122.17,,
DEBIT,01/21/2026,"Online Transfer to CHK ...0068 transaction#: 27775106181 01/21",-150.00,ACCT_XFER,172.17,,
DEBIT,01/21/2026,"INSTANTLY INSTANTLY.AI WY                    01/20",-97.00,DEBIT_CARD,322.17,,
DEBIT,01/20/2026,"Online Transfer to CHK ...0068 transaction#: 27767244058 01/20",-100.00,ACCT_XFER,419.17,,
DEBIT,01/20/2026,"LOVABLE LOVABLE.DEV DE                       01/20",-20.00,DEBIT_CARD,519.17,,
DEBIT,01/20/2026,"GM* RAPIDURLINDEXER SINGAPORE                01/19",-25.00,DEBIT_CARD,539.17,,
DEBIT,01/20/2026,"FACEBK *752E6EV8Z2 650-5434800 CA            01/19",-278.00,DEBIT_CARD,564.17,,
DEBIT,01/20/2026,"LOVABLE LOVABLE.DEV DE                       01/18",-5.00,DEBIT_CARD,842.17,,
DEBIT,01/20/2026,"FACEBK *DRBUZBM8Z2 650-5434800 CA            01/18",-278.00,DEBIT_CARD,847.17,,
DEBIT,01/20/2026,"HIGGSFIELD INC. WWW.HIGGSFIEL CA             01/18",-52.02,DEBIT_CARD,1125.17,,
DEBIT,01/20/2026,"Online Transfer to CHK ...0068 transaction#: 27736187525 01/20",-100.00,ACCT_XFER,1177.19,,
DEBIT,01/20/2026,"CURSOR, AI POWERED IDE CURSOR.COM NY         01/17",-20.00,DEBIT_CARD,1277.19,,
DEBIT,01/20/2026,"FACEBK *RCDL3CV7Z2 650-5434800 CA            01/17",-226.00,DEBIT_CARD,1297.19,,
DEBIT,01/20/2026,"CLOUDFLARE CLOUDFLARE.CO CA                  01/17",-11.86,DEBIT_CARD,1523.19,,
DEBIT,01/20/2026,"CLAUDE.AI SUBSCRIPTI ANTHROPIC.COM CA        01/17",-80.65,DEBIT_CARD,1535.05,,
DEBIT,01/20/2026,"FS *dataforseo fsprg.nl                      01/17",-59.00,DEBIT_CARD,1615.70,,
CREDIT,01/20/2026,"Online Transfer from CHK ...0068 transaction#: 27732691900",550.00,ACCT_XFER,1674.70,,
CREDIT,01/20/2026,"REAL TIME PAYMENT CREDIT RECD FROM ABA/CONTR BNK-121000248  FROM: MARK GUNDRUM/STRIPE PAYMENTS COMPANY REF: ST-OPD7IG0YXK29F1HTS INFO: TEXT-RmtInf-ST-OPD7IG0YXK29F1HTSKAE KURIOSBRAND IID: 20260117121000248P1BPFAO68371117415 RECD: 01:25:01 TRN: 2498832016GC",472.12,MISC_CREDIT,1124.70,,
DEBIT,01/16/2026,"FACEBK *3T2LTBM8Z2 650-5434800 CA            01/16",-226.00,DEBIT_CARD,652.58,,
DEBIT,01/16/2026,"Online Transfer to  CHK ...0068 transaction#: 27588920382 01/16",-350.00,ACCT_XFER,878.58,,
DEBIT,01/16/2026,"CLAUDE.AI SUBSCRIPTI ANTHROPIC.COM CA        01/16",-20.00,DEBIT_CARD,1228.58,,
DEBIT,01/16/2026,"META WAVE SOLUTIONS WYRA                     01/16",-10.50,DEBIT_CARD,1248.58,,
CREDIT,01/16/2026,"Zelle payment from ANTHONY REDDIN BACs7skylsj7",250.00,PARTNERFI_TO_CHASE,1259.08,,
DEBIT,01/15/2026,"Online Transfer to CHK ...0068 transaction#: 27708472318 01/15",-350.00,ACCT_XFER,1009.08,,
DEBIT,01/15/2026,"FACEBK *GWS5TAR8Z2 650-5434800 CA            01/15",-226.00,DEBIT_CARD,1359.08,,
DEBIT,01/15/2026,"APPLE.COM/BILL 866-712-7753 CA               01/15",-9.99,DEBIT_CARD,1585.08,,
DEBIT,01/15/2026,"EXA.AI EXA.AI CA                             01/14",-79.00,DEBIT_CARD,1595.07,,
DEBIT,01/15/2026,"DESCRIPT DESCRIPT.COM CA                     01/14",-24.00,DEBIT_CARD,1674.07,,
DEBIT,01/14/2026,"FACEBK *6TWXTB58Z2 650-5434800 CA            01/14",-122.00,DEBIT_CARD,1698.07,,
DEBIT,01/14/2026,"TMOBILE*AUTO PAY 800-937-8997 WA             01/13",-55.66,DEBIT_CARD,1820.07,,
DEBIT,01/14/2026,"FACEBK *CA5RNDV8Z2 650-5434800 CA            01/14",-115.00,DEBIT_CARD,1875.73,,
CREDIT,01/14/2026,"Zelle payment from ACI ENTERPRISE, LLC WFCT0ZPN9TGT",1000.00,PARTNERFI_TO_CHASE,1990.73,,
DEBIT,01/13/2026,"ORIG CO NAME:Wise Inc               ORIG ID:9453233521 DESC DATE:260113 CO ENTRY DESCR:WISE      SEC:CCD    TRACE#:021000029969232 EED:260113   IND ID:TrnWise                      IND NAME:KuriosBrand LLC            87174261                                                                          87174261 TRN: 0139969232TC",-20.03,MISC_DEBIT,990.73,,
DEBIT,01/13/2026,"FACEBK *H54ARBV7Z2 650-5434800 CA            01/13",-115.00,DEBIT_CARD,1010.76,,
DEBIT,01/13/2026,"FACEBK *PMVXSA98Z2 650-5434800 CA            01/12",-105.00,DEBIT_CARD,1125.76,,
DEBIT,01/13/2026,"HIGHLEVEL INC. GOHIGHLEVEL.C TX              01/12",-100.00,DEBIT_CARD,1230.76,,
DEBIT,01/13/2026,"LEMLIST PARIS                                01/12",-50.00,DEBIT_CARD,1330.76,,
CREDIT,01/13/2026,"Online Transfer from SAV ...7036 transaction#: 27685817313",200.00,ACCT_XFER,1380.76,,
CREDIT,01/13/2026,"Online Transfer from CHK ...0068 transaction#: 27685837786",455.00,ACCT_XFER,1180.76,,
DEBIT,01/12/2026,"ORIG CO NAME:SELF LENDER INC        ORIG ID:473596202  DESC DATE:       CO ENTRY DESCR:PAYMENTS  SEC:WEB    TRACE#:096001018404635 EED:260112   IND ID:125645353                    IND NAME:MARK GUNDRUM TRN: 0128404635TC",-48.00,MISC_DEBIT,725.76,,
DEBIT,01/12/2026,"FACEBK *2BQ4KAR8Z2 650-5434800 CA            01/12",-104.00,DEBIT_CARD,773.76,,
DEBIT,01/12/2026,"FACEBK *2GXTQA98Z2 650-5434800 CA            01/11",-104.00,DEBIT_CARD,877.76,,
DEBIT,01/12/2026,"FACEBK *SUGVGDV8Z2 650-5434800 CA            01/11",-82.00,DEBIT_CARD,981.76,,
DEBIT,01/12/2026,"FACEBK *A96E9BD8Z2 650-5434800 CA            01/10",-80.00,DEBIT_CARD,1063.76,,
DEBIT,01/12/2026,"FACEBK *9TK4FAR8Z2 650-5434800 CA            01/10",-80.00,DEBIT_CARD,1143.76,,
DEBIT,01/12/2026,"FACEBK *K67XDAR8Z2 650-5434800 CA            01/10",-54.00,DEBIT_CARD,1223.76,,
DEBIT,01/12/2026,"TRAVELINGMAILBOX.COM TRAVELINGMAIL NC        01/09",-19.95,DEBIT_CARD,1277.76,,
CREDIT,01/12/2026,"Online Transfer from CHK ...0068 transaction#: 27670052743",500.00,ACCT_XFER,1297.71,,
DEBIT,01/09/2026,"NON-CHASE ATM FEE-WITH",-5.00,FEE_TRANSACTION,797.71,,
DEBIT,01/09/2026,"FOREIGN EXCHANGE RATE ADJUSTMENT FEE 975871  01/09CALLE BOL",-10.84,FEE_TRANSACTION,802.71,,
DEBIT,01/09/2026,"NON-CHASE ATM WITHDRAW               975871  01/09CALLE BOL Nuevo Sol  1200.00 X 0.2974897 (EXCHG RTE)",-361.45,ATM,813.55,,
DEBIT,01/09/2026,"Online Transfer to CHK ...0068 transaction#: 27644980606 01/09",-500.00,ACCT_XFER,1175.00,,
DEBIT,01/09/2026,"FACEBK *N989CAR8Z2 650-5434800 CA            01/09",-54.00,DEBIT_CARD,1675.00,,
CREDIT,01/09/2026,"Online Transfer from CHK ...0068 transaction#: 27645111376",400.00,ACCT_XFER,1729.00,,
CREDIT,01/09/2026,"Zelle payment from ALEXANDER SHTABSKY 27644834926",500.00,QUICKPAY_CREDIT,1329.00,,
DEBIT,01/08/2026,"FACEBK *RCL6EBV7Z2 650-5434800 CA            01/08",-54.00,DEBIT_CARD,829.00,,
DEBIT,01/08/2026,"FACEBK *6N8W8AR8Z2 650-5434800 CA            01/08",-43.00,DEBIT_CARD,883.00,,
DEBIT,01/08/2026,"GOOGLE *Google One 855-836-3987 CA           01/07",-1.99,DEBIT_CARD,926.00,,
CREDIT,01/08/2026,"Zelle payment from ANTHONY REDDIN BACz2vznjr5f",250.00,PARTNERFI_TO_CHASE,927.99,,
DEBIT,01/07/2026,"FACEBK *MGA3VBH8Z2 650-5434800 CA            01/07",-43.00,DEBIT_CARD,677.99,,
DEBIT,01/07/2026,"OPENAI *CHATGPT SUBSCR OPENAI.COM CA         01/06",-20.00,DEBIT_CARD,720.99,,
DEBIT,01/06/2026,"APPLE COM BILL CUPERTINO CA          670726  01/06",-36.74,DEBIT_CARD,740.99,,
DEBIT,01/06/2026,"FACEBK *RPQ2SBH8Z2 650-5434800 CA            01/06",-43.00,DEBIT_CARD,777.73,,
DEBIT,01/06/2026,"HIGHLEVEL AGENCY SUB GOHIGHLEVEL.C TX        01/06",-297.00,DEBIT_CARD,820.73,,
DEBIT,01/06/2026,"LEMLIST PARIS                                01/05",-30.00,DEBIT_CARD,1117.73,,
DEBIT,01/06/2026,"LEMLIST PARIS                                01/05",-69.00,DEBIT_CARD,1147.73,,
DEBIT,01/05/2026,"ORIG CO NAME:AFFIRM.COM PAYME       ORIG ID:1800948598 DESC DATE:       CO ENTRY DESCR:AFFIRM.COMSEC:WEB    TRACE#:091000010897385 EED:260105   IND ID:ST-Q9B3K0M8S4I4              IND NAME:MARK GUNDRUM TRN: 0050897385TC",-179.67,ACH_DEBIT,1216.73,,
DEBIT,01/05/2026,"Online Transfer to  CHK ...0068 transaction#: 27421879683 01/05",-350.00,ACCT_XFER,1396.40,,
DEBIT,01/05/2026,"FACEBK *LGVHXAM8Z2 650-5434800 CA            01/05",-27.00,DEBIT_CARD,1746.40,,
DEBIT,01/05/2026,"FACEBK *FAX24B58Z2 650-5434800 CA            01/04",-28.00,DEBIT_CARD,1773.40,,
DEBIT,01/05/2026,"FACEBK *A5CN3BV7Z2 650-5434800 CA            01/04",-20.00,DEBIT_CARD,1801.40,,
DEBIT,01/05/2026,"FACEBK *8AE33BV7Z2 650-5434800 CA            01/04",-20.00,DEBIT_CARD,1821.40,,
DEBIT,01/05/2026,"FACEBK *NVY4MBH8Z2 650-5434800 CA            01/03",-12.00,DEBIT_CARD,1841.40,,
DEBIT,01/05/2026,"FACEBK *KDQS4A98Z2 650-5434800 CA            01/03",-12.00,DEBIT_CARD,1853.40,,
DEBIT,01/05/2026,"FACEBK *NSUCZA58Z2 650-5434800 CA            01/03",-12.00,DEBIT_CARD,1865.40,,
DEBIT,01/05/2026,"FACEBK *UNE3W9R8Z2 650-5434800 CA            01/03",-16.00,DEBIT_CARD,1877.40,,
DEBIT,01/05/2026,"FACEBK *M7X9ZAV7Z2 650-5434800 CA            01/03",-15.00,DEBIT_CARD,1893.40,,
DEBIT,01/05/2026,"FACEBK *HPK2ZAV7Z2 650-5434800 CA            01/03",-10.00,DEBIT_CARD,1908.40,,
DEBIT,01/05/2026,"FACEBK *B2CJKBH8Z2 650-5434800 CA            01/03",-11.00,DEBIT_CARD,1918.40,,
DEBIT,01/05/2026,"FACEBK *EFAXXAV7Z2 650-5434800 CA            01/02",-10.00,DEBIT_CARD,1929.40,,
DEBIT,01/05/2026,"FACEBK *MJ4JXA58Z2 650-5434800 CA            01/02",-7.00,DEBIT_CARD,1939.40,,
DEBIT,01/05/2026,"FACEBK *87WJ2A98Z2 650-5434800 CA            01/02",-7.00,DEBIT_CARD,1946.40,,
DEBIT,01/05/2026,"FACEBK *H6AH2A98Z2 650-5434800 CA            01/02",-7.00,DEBIT_CARD,1953.40,,
CREDIT,01/05/2026,"Online Transfer from CHK ...0068 transaction#: 27595356023",450.00,ACCT_XFER,1960.40,,
CREDIT,01/05/2026,"REAL TIME PAYMENT CREDIT RECD FROM ABA/CONTR BNK-121000248  FROM: MARK GUNDRUM/STRIPE PAYMENTS COMPANY REF: ST-5MPTYL6YHNUZA79LD INFO: TEXT-RmtInf-ST-5MPTYL6YHNUZA79LD03H KURIOSBRAND IID: 20260105121000248P1BPEAO65701167694 RECD: 17:00:05 TRN: 1586372005GE",488.77,MISC_CREDIT,1510.40,,
DEBIT,01/02/2026,"Online Transfer to CHK ...0068 transaction#: 27560962442 01/02",-84.00,ACCT_XFER,1021.63,,
DEBIT,01/02/2026,"FACEBK *NC5DTCV8Z2 650-5434800 CA            01/02",-6.00,DEBIT_CARD,1105.63,,
DEBIT,01/02/2026,"FACEBK *R2TD2A98Z2 650-5434800 CA            01/02",-6.00,DEBIT_CARD,1111.63,,
DEBIT,01/02/2026,"FACEBK *UBWPMAZ7Z2 650-5434800 CA            01/02",-6.00,DEBIT_CARD,1117.63,,
DEBIT,01/02/2026,"FACEBK *QZE8TCV8Z2 650-5434800 CA            01/02",-6.00,DEBIT_CARD,1123.63,,
DEBIT,01/02/2026,"FACEBK *TFRXT9R8Z2 WILMINGTON DE     087150  01/02",-5.00,DEBIT_CARD,1129.63,,
DEBIT,01/02/2026,"FACEBK *YZVBXAV7Z2 650-5434800 CA            01/02",-5.00,DEBIT_CARD,1134.63,,
DEBIT,01/02/2026,"FACEBK *VWTYSCV8Z2 650-5434800 CA            01/02",-5.00,DEBIT_CARD,1139.63,,
DEBIT,01/02/2026,"FACEBK *RJ5BMAZ7Z2 650-5434800 CA            01/02",-3.00,DEBIT_CARD,1144.63,,
DEBIT,01/02/2026,"ORIG CO NAME:CHASE CREDIT CRD       ORIG ID:4760039224 DESC DATE:260101 CO ENTRY DESCR:AUTOPAYBUSSEC:PPD    TRACE#:021000023886347 EED:260102   IND ID:                             IND NAME:GUNDRUM MARK D TRN: 0023886347TC",-61.00,ACH_DEBIT,1147.63,,
DEBIT,01/02/2026,"FACEBK *AQF4Z998Z2 650-5434800 CA            01/02",-3.00,DEBIT_CARD,1208.63,,
DEBIT,01/02/2026,"FACEBK *9G3FS9R8Z2 650-5434800 CA            01/02",-2.00,DEBIT_CARD,1211.63,,
DEBIT,01/02/2026,"Online Transfer to CHK ...0068 transaction#: 27547657010 01/02",-100.00,ACCT_XFER,1213.63,,
DEBIT,01/02/2026,"GOOGLE *ADS270066549 cc@google.com CA        01/01",-4.01,DEBIT_CARD,1313.63,,
DEBIT,01/02/2026,"GOOGLE *ADS914840996 cc@google.com CA        01/01",-217.20,DEBIT_CARD,1317.64,,
DEBIT,01/02/2026,"GOOGLE *Workspace_ku cc@google.com CA        01/01",-21.67,DEBIT_CARD,1534.84,,
DEBIT,01/02/2026,"GOOGLE *Workspace_co cc@google.com CA        01/01",-26.40,DEBIT_CARD,1556.51,,
DEBIT,01/02/2026,"10WEB.IO 10WEB.IO DE                         01/01",-136.00,DEBIT_CARD,1582.91,,
DEBIT,01/02/2026,"INSTANTLY INSTANTLY.AI WY                    12/31",-54.06,DEBIT_CARD,1718.91,,
CREDIT,01/02/2026,"ORIG CO NAME:STRIPE                 ORIG ID:1800948598 DESC DATE:       CO ENTRY DESCR:TRANSFER  SEC:CCD    TRACE#:091000013659174 EED:260102   IND ID:ST-I8Q4E6O6F5O4              IND NAME:MARK GUNDRUM TRN: 0023659174TC",79.20,ACH_CREDIT,1772.97,,
CREDIT,01/02/2026,"Zelle payment from ANTHONY REDDIN BACsubedldng",250.00,PARTNERFI_TO_CHASE,1693.77,,
DEBIT,12/31/2025,"MONTHLY SERVICE FEE",-15.00,FEE_TRANSACTION,1443.77,,
DEBIT,12/31/2025,"Online Transfer to CHK ...0068 transaction#: 27533877128 12/31",-200.00,ACCT_XFER,1458.77,,
DEBIT,12/31/2025,"APPLE COM BILL CUPERTINO CA          246926  12/31",-12.59,DEBIT_CARD,1658.77,,
DEBIT,12/31/2025,"ORIG CO NAME:Credit Strong          ORIG ID:5122002794 DESC DATE:123025 CO ENTRY DESCR:CSTR PAYMTSEC:WEB    TRACE#:114994032300349 EED:251231   IND ID:2659668                      IND NAME:Mark Gundrum TRN: 3652300349TC",-99.00,MISC_DEBIT,1671.36,,
DEBIT,12/31/2025,"INSTANTLY INSTANTLY.AI WY                    12/30",-30.00,DEBIT_CARD,1770.36,,
DEBIT,12/31/2025,"INSTANTLY INSTANTLY.AI WY                    12/30",-5.00,DEBIT_CARD,1800.36,,
DEBIT,12/31/2025,"INSTANTLY INSTANTLY.AI WY                    12/30",-5.00,DEBIT_CARD,1805.36,,
DEBIT,12/31/2025,"INSTANTLY INSTANTLY.AI WY                    12/30",-10.00,DEBIT_CARD,1810.36,,
DEBIT,12/31/2025,"EXA.AI EXA.AI CA                             12/30",-407.90,DEBIT_CARD,1820.36,,
DEBIT,12/30/2025,"MYFICO.COM WWW.MYFICO.CO MT                  12/30",-29.95,DEBIT_CARD,2228.26,,
CREDIT,12/30/2025,"Zelle payment from ACI ENTERPRISE, LLC WFCT0ZN5S5MB",1000.00,PARTNERFI_TO_CHASE,2258.21,,
DEBIT,12/29/2025,"Online Transfer to CHK ...0068 transaction#: 27503513918 12/29",-500.00,ACCT_XFER,1258.21,,
DEBIT,12/29/2025,"INSTANTLY INSTANTLY.AI WY                    12/29",-52.00,DEBIT_CARD,1758.21,,
DEBIT,12/29/2025,"REVID PARIS                                  12/28",-39.00,DEBIT_CARD,1810.21,,
DEBIT,12/29/2025,"INSTANTLY INSTANTLY.AI WY                    12/28",-37.00,DEBIT_CARD,1849.21,,
DEBIT,12/29/2025,"HIGHLEVEL INC. GOHIGHLEVEL.C TX              12/28",-10.00,DEBIT_CARD,1886.21,,
DEBIT,12/29/2025,"SAFETYWING SAFETYWING.CO CA                  12/28",-66.28,DEBIT_CARD,1896.21,,
DEBIT,12/29/2025,"EXA.AI EXA.AI CA                             12/26",-35.00,DEBIT_CARD,1962.49,,
CREDIT,12/29/2025,"Zelle payment from ALEXANDER SHTABSKY 27501097957",500.00,QUICKPAY_CREDIT,1997.49,,
CREDIT,12/29/2025,"Online Transfer from CHK ...0068 transaction#: 27500179723",900.00,ACCT_XFER,1497.49,,
DEBIT,12/26/2025,"Online Transfer to CHK ...0068 transaction#: 27473422126 12/26",-470.00,ACCT_XFER,597.49,,
DEBIT,12/26/2025,"EXA.AI EXA.AI CA                             12/24",-49.00,DEBIT_CARD,1067.49,,
CREDIT,12/26/2025,"Zelle payment from ANTHONY REDDIN BACz7q7oo3y5",250.00,PARTNERFI_TO_CHASE,1116.49,,
CREDIT,12/26/2025,"REAL TIME PAYMENT CREDIT RECD FROM ABA/CONTR BNK-121000248  FROM: MARK GUNDRUM/STRIPE PAYMENTS COMPANY REF: ST-TDQUYB3IPFXRBELXE INFO: TEXT-RmtInf-ST-TDQUYB3IPFXRBELXEMLQ KURIOSBRAND IID: 20251226121000248P1BPDAO65701040585 RECD: 13:08:32 TRN: 1010102360GB",394.09,MISC_CREDIT,866.49,,
DEBIT,12/24/2025,"ORIG CO NAME:WISE US INC            ORIG ID:1453233521 DESC DATE:251224 CO ENTRY DESCR:WISE      SEC:CCD    TRACE#:111000026321027 EED:251224   IND ID:TrnWise                      IND NAME:KuriosBrand LLC                                                                                              85884633 TRN: 3586321027TC",-50.09,MISC_DEBIT,472.40,,
DEBIT,12/24/2025,"Online Transfer to CHK ...0068 transaction#: 27452006275 12/24",-100.00,ACCT_XFER,522.49,,
DEBIT,12/24/2025,"ORIG CO NAME:Credit Strong          ORIG ID:5122002794 DESC DATE:122325 CO ENTRY DESCR:CSTR PAYMTSEC:WEB    TRACE#:114994030343989 EED:251224   IND ID:2642551                      IND NAME:Mark Gundrum TRN: 3580343989TC",-90.00,MISC_DEBIT,622.49,,
DEBIT,12/24/2025,"LEMLIST PARIS                                12/23",-50.00,DEBIT_CARD,712.49,,
